Periodo,CONCEPTO 1,CONCEPTO 2,CONCEPTO 3,CONCEPTO 4,Presupuesto de ley,Instrucción de abono a cuenta,año,Índice,indice_2024,presupuesto_ley_pc,instruccion_abono_pc
2023-2024,RECAUDO CORRIENTE NO AFORADO /3,,, Asignaciones Directas (20% del SGR) - Corrientes No Aforados,0.0,490119086093.0,2024,145.3472,100.0,0.0,490119086093.0
2023-2024,RECAUDO CORRIENTE NO AFORADO /3,,, Asignaciones Directas Anticipadas (5% del SGR) - Corrientes No Aforados,0.0,139877860904.0,2024,145.3472,100.0,0.0,139877860904.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Rendimientos Financieros Asignaciones Directas (20%) - Decreto 0124 de 2023,222748129837.42,222748129837.0,2024,145.3472,100.0,222748129837.42,222748129837.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Rendimientos Financieros Asignaciones Directas (20%) - Decreto 1279 de 2023,326421191325.74,326421191326.0,2024,145.3472,100.0,326421191325.74,326421191326.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Rendimientos Financieros Asignaciones Directas (20%) - Decreto 0053 de 2024,451750272601.6,451750272602.0,2024,145.3472,100.0,451750272601.6,451750272602.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Mayor recaudo Asignaciones Directas 20%,1934315575222.0,1934315575222.0,2024,145.3472,100.0,1934315575222.0,1934315575222.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Diferencial cambiario art. 17 Ley 2279 2022,5115388900.45,5115388900.0,2024,145.3472,100.0,5115388900.45,5115388900.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Reintegros art 203 Ley 2056,214297105.94,214297106.0,2024,145.3472,100.0,214297105.94,214297106.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,, Reintegros art 204 Ley 2056,38737026028.82,38737026029.0,2024,145.3472,100.0,38737026028.82,38737026029.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignaciones Directas,," Incentivo a la producción, exploración y formalización",33273028608.0,33273028608.0,2024,145.3472,100.0,33273028608.0,33273028608.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignación para la Inversión Local,," Mayor Recaudo - Asignación para la Inversión Local según NBI y cuarta, quinta, y sexta categoría",967157787610.96,967157787611.0,2024,145.3472,100.0,967157787610.96,967157787611.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignación para la Paz,, Rendimientos financieros 70% Asignación Paz,923254587623.0,923254587623.0,2024,145.3472,100.0,923254587623.0,923254587623.0
2023-2024,MEDIDAS INVERSIÓN /4,Asignación para la Paz,, Rendimientos financieros 30% incentivo a la producción,395680537553.0,395680537553.0,2024,145.3472,100.0,395680537553.0,395680537553.0
2023-2024,MEDIDAS INVERSIÓN /4,Conservación de las áreas ambientales estratégicas,, Mayor recaudo,1934315575221.92,1934315575222.0,2024,145.3472,100.0,1934315575221.92,1934315575222.0
2023-2024,MEDIDAS INVERSIÓN /4,Emprendimiento y generación de empleo,, Mayor recaudo,483578893805.48,483578893805.0,2024,145.3472,100.0,483578893805.48,483578893805.0
2023-2024,MEDIDAS AHORRO /4,FAE,, Mayor Recaudo,4352210044249.35,4352210044249.0,2024,145.3472,100.0,4352210044249.35,4352210044249.0
