"VIGENCIA
FISCAL","RECAUDO POR CRUDO MONETIZADO
$COP","RECAUDO POR GAS
$COP","RECAUDO POR CRUDO EN ESPECIE
$COP","VOLUMEN DE REGALÍAS CRUDO EN ESPECIE
BBL",Periodo,RECAUDO POR CRUDO (ESPECIE Y MONETIZADO) $COP,Total Recaudo Hidrocarburos,Gas %,Petróleo %,Índice,year,recaudo_crudo_monetizado_pc,recaudo_gas_pc,recaudo_crudo_especie_pc,recaud_crudo_em_pc,total_recaudo_hidroc_pc
2012,,246838689006.0,7540736740171.0,60563459.32,2012,7540736740171.0,7787575429177.0,0.0316964748850061,0.9683035251149938,78.05,2012,,316257128771.3005,9661417988688.021,9661417988688.021,9977675117459.322
2013,71388438607.0,644184322341.0,6884161443841.0,49571676.54,2013-2014,6955549882448.0,7599734204789.0,0.0847640595029053,0.9152359404970948,79.56,2013,89729058078.18,809683663073.1523,8652792161690.548,8742521219768.729,9552204882841.88
2014,261938062557.99,665578049772.0,7093603466141.01,45814754.86,2013-2014,7355541528699.0,8021119578471.0,0.082978198150597,0.917021801849403,82.47,2014,317616178680.7203,807054746904.3289,8601435026241.069,8919051204921.79,9726105951826.12
2015,139500758808.0,809367786354.0,4324614032004.0,45068708.18,2015-2016,4464114790812.0,5273482577166.0,0.1534788016288391,0.8465211983711608,88.05,2015,158433570480.40887,919213840265.7582,4911543477574.105,5069977048054.515,5989190888320.272
2016,85686345388.0,854862411813.0,2908685541189.0,42575395.49,2015-2016,2994371886577.0,3849234298390.0,0.2220863542057076,0.7779136457942923,93.11,2016,92027006108.90344,918120944917.8391,3123923897743.529,3215950903852.4326,4134071848770.2715
2017,110923548867.0,636770378990.0,4046323098813.0,40134806.16,2017-2018,4157246647680.0,4794017026670.0,0.1328260570305714,0.8671739429694285,96.92,2017,114448564658.48122,657006168995.0474,4174910337198.72,4289358901857.2017,4946365070852.249
2018,234726064965.0,667048010563.0,5606401911388.0,37189975.15,2017-2018,5841127976353.0,6508175986916.0,0.1024938495676867,0.8975061504323132,100.0,2018,234726064965.0,667048010563.0,5606401911388.0,5841127976353.0,6508175986916.0
2019,345764254771.48,789362451725.0,5236356824564.0,35364184.43,2019-2020,5582121079335.48,6371483531060.48,0.1238898990913058,0.8761101009086941,103.8,2019,333106218469.6339,760464789715.7996,5044659753915.222,5377765972384.855,6138230762100.655
2020,246206180653.29,914754850859.42,3092880038078.0,31152636.78,2019-2020,3339086218731.29,4253841069590.71,0.2150420845288972,0.7849579154711028,105.48,2020,233415036645.13654,867230613253.1476,2932195713005.309,3165610749650.446,4032841362903.5933
2021,450821130989.94,1022087279011.0,4957365155519.0,26862460.79,2021-2022,5408186286508.94,6430273565519.94,0.1589492684248428,0.8410507315751572,111.41,2021,404650508024.36053,917410716283.0986,4449659057103.492,4854309565127.854,5771720281410.951
2022,1021230452732.17,1197433078412.1,8505971553775.22,26018245.87,2021-2022,9527202006507.39,10724635084919.49,0.1116525708269438,0.8883474291730562,126.03,2022,810307428971.0149,950117494574.3872,6749164130584.162,7559471559555.178,8509589054129.564
2023,632741870689.98,1419828007274.0,7441743180584.14,27497742.55,2023-2024,8074485051274.12,9494313058548.12,0.1495451012114742,0.8504548987885256,137.72,2023,459440800675.2687,1030952662847.8071,5403531208672.7705,5862972009348.04,6893924672195.846
2024,83914041531.0,583726989141.0,3403390932798.0,14216378.55,2023-2024,3487304974329.0,4071031963470.0,0.1433855087306787,0.8566144912693212,145.3472,2024,57733510883.5946,401608692249.3175,2341559337089.397,2399292847972.9917,2800901540222.309
