,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
33,5040,Anori,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,684691.77,78.05,2012,1275054.8575598206,53.69900486559081
34,5042,Santafe de Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,181244790.52,78.05,2012,337519831.09120494,53.69900486559081
35,5042,Santafe de Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1466914.96,78.05,2012,2731735.8369521075,53.69900486559081
36,5044,Anza,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,8822057.68,78.05,2012,16428717.258507315,53.69900486559081
37,5044,Anza,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,13151.71,78.05,2012,24491.533936092248,53.69900486559081
38,5045,Apartado,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,1066429.0,78.05,2012,1985938.1056860988,53.69900486559081
39,5055,Argelia - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,18498895.97,78.05,2012,34449234.23870319,53.69900486559081
40,5055,Argelia - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,333650.96,78.05,2012,621335.4620539654,53.69900486559081
41,5079,Barbosa - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,53734380.83,78.05,2012,100065878.24950898,53.69900486559081
42,5079,Barbosa - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,212746.97,78.05,2012,396184.1947211275,53.69900486559081
43,5086,Belmira,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,9059228.75,78.05,2012,16870384.791441385,53.69900486559081
44,5086,Belmira,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,59404.56,78.05,2012,110625.06679349135,53.69900486559081
45,5088,Bello,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2012,2012,843.0,78.05,2012,1569.8614939141576,53.69900486559081
46,5088,Bello,Antioquia,Materiales Construcción (M3),GRAVAS DE RIO,Gravas (M3),2012,2012,5694600.0,78.05,2012,10604665.79269699,53.69900486559081
47,5088,Bello,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,23888925.71,78.05,2012,44486719.576636925,53.69900486559081
48,5088,Bello,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,49507.41,78.05,2012,92194.27831841128,53.69900486559081
49,5088,Bello,Antioquia,Otro Mineral Metalico (Kg),CROMO - CROMITA,Otro Min met (Kg),2012,2012,211358.3,78.05,2012,393598.1691449071,53.69900486559081
50,5088,Bello,Antioquia,Rocas Ornamentales (M3),SERPENTINA EN RAJON,Rocas Ornamentales (M3),2012,2012,15751.42,78.05,2012,29332.796835669444,53.69900486559081
51,5107,Briceño - Antioquia,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,2012,2957058.0,78.05,2012,5506727.745516976,53.69900486559081
52,5107,Briceño - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,226722649.58,78.05,2012,422210151.09588957,53.69900486559081
53,5107,Briceño - Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,647903.8099999999,78.05,2012,1206547.1448152722,53.69900486559081
54,5113,Buritica,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,612874870.85,78.05,2012,1141315136.814979,53.69900486559081
