"VIGENCIA
FISCAL","RECAUDO POR CRUDO MONETIZADO
$COP","RECAUDO POR GAS
$COP","RECAUDO POR CRUDO EN ESPECIE
$COP","VOLUMEN DE REGALÍAS CRUDO EN ESPECIE
BBL",Periodo,RECAUDO POR CRUDO (ESPECIE Y MONETIZADO) $COP,Total Recaudo Hidrocarburos,Gas %,Petróleo %,Año,Indice_base_2024,Indice_base_2025,"RECAUDO POR CRUDO MONETIZADO
$COP 2024","RECAUDO POR GAS
$COP 2024","RECAUDO POR CRUDO EN ESPECIE
$COP 2024","VOLUMEN DE REGALÍAS CRUDO EN ESPECIE
BBL 2024",RECAUDO POR CRUDO (ESPECIE Y MONETIZADO) 2024
2013,71388438607.0,644184322341.0,6884161443841.0,49571676.54,2013-2014,6955549882448.0,7599734204789.0,0.0847640595029053,0.9152359404970948,2013,56.6729596282312,53.46505625304829,125965608775.86212,1136669633219.7632,12147171224161.209,87469715.4783959,12273136832937.072
2014,261938062557.99,665578049772.0,7093603466141.01,45814754.86,2013-2014,7355541528699.0,8021119578471.0,0.082978198150597,0.917021801849403,2014,57.769387162358406,54.49942185128151,453420185715.0123,1152129323964.3015,12279173822988.184,79306285.05931623,12732594008703.195
2015,139500758808.0,809367786354.0,4324614032004.0,45068708.18,2015-2016,4464114790812.0,5273482577166.0,0.1534788016288391,0.8465211983711608,2015,59.882370026139995,56.49280191145282,232957978695.741,1351596114183.0105,7221848484146.852,75262064.87873892,7454806462842.593
2016,85686345388.0,854862411813.0,2908685541189.0,42575395.49,2015-2016,2994371886577.0,3849234298390.0,0.2220863542057076,0.7779136457942923,2016,63.93406912576242,60.31515955260605,134022981111.13412,1337099958601.776,4549507924276.537,66592657.20480182,4683530905387.671
2017,110923548867.0,636770378990.0,4046323098813.0,40134806.16,2017-2018,4157246647680.0,4794017026670.0,0.1328260570305714,0.8671739429694285,2017,67.60819053151322,63.78131182218228,164068211255.10944,941853899629.5006,5984959909446.101,59363822.407423474,6149028120701.21
2018,234726064965.0,667048010563.0,5606401911388.0,37189975.15,2017-2018,5841127976353.0,6508175986916.0,0.1024938495676867,0.8975061504323132,2018,70.37467325007262,66.39120117931378,333537697760.8316,947852373243.2559,7966505068472.506,52845680.743479155,8300042766233.338
2019,345764254771.48,789362451725.0,5236356824564.0,35364184.43,2019-2020,5582121079335.48,6371483531060.48,0.1238898990913058,0.8761101009086941,2019,72.61109497531223,68.50103299557757,476186531671.2822,1087109968515.6699,7211510618789.541,48703554.796996,7687697150460.823
2020,246206180653.29,914754850859.42,3092880038078.0,31152636.78,2019-2020,3339086218731.29,4253841069590.71,0.2150420845288972,0.7849579154711028,2020,75.3703165843741,71.10407224940951,326661996142.30347,1213680520812.7102,4103578408902.7183,41332766.25569942,4430240405045.021
2021,450821130989.94,1022087279011.0,4957365155519.0,26862460.79,2021-2022,5408186286508.94,6430273565519.94,0.1589492684248428,0.8410507315751572,2021,76.59018297995934,72.25488960373522,588614772088.875,1334488624055.697,6472585601233.1875,35072981.60787637,7061200373322.063
2022,1021230452732.17,1197433078412.1,8505971553775.22,26018245.87,2021-2022,9527202006507.39,10724635084919.49,0.1116525708269438,0.8883474291730562,2022,80.89602091199535,76.31700086037297,1262398868595.947,1480212580189.52,10514697086311.133,32162578.055977024,11777095954907.082
2023,632741870689.98,1419828007274.0,7441743180584.14,27497742.55,2023-2024,8074485051274.12,9494313058548.12,0.1495451012114742,0.8504548987885256,2023,91.511762997386,86.33185188432641,691432281452.226,1551525138155.7983,8132007227089.167,30048314.71860668,8823439508541.393
2024,83914041531.0,583726989141.0,3403390932798.0,14216378.55,2023-2024,3487304974329.0,4071031963470.0,0.1433855087306787,0.8566144912693212,2024,100.0,94.33962264150942,83914041531.0,583726989141.0,3403390932798.0,14216378.55,3487304974329.0
