Periodo,Regalías causadas,Total Recaudo Hidrocarburos,Minería %,Hidrocarburos %
2012,1942680305299.77,7787575429177.0,0.19965357112006418,0.8003464288799359
2013-2014,3028197283501.79,15620853783260.0,0.16237808951571522,0.8376219104842848
2015-2016,3318644975708.2397,9122716875556.0,0.26674290285761704,0.733257097142383
2017-2018,4540449791453.67,11302193013586.0,0.28659674066559887,0.7134032593344012
2019-2020,3969600118869.5903,10625324600651.191,0.2719849670454436,0.7280150329545564
2021-2022,10656505873420.969,17154908650439.43,0.3831702218626232,0.6168297781373768
2023-2024,8577370802170.78,13565345022018.121,0.3873676052329942,0.6126323947670058
